From Files,To File
66,src/java/org/apache/cassandra/config/SchemaConstants.java
10,src/java/org/apache/cassandra/config/TransparentDataEncryptionOptions.java
17,src/java/org/apache/cassandra/config/ViewDefinition.java
4,src/java/org/apache/cassandra/config/YamlConfigurationLoader.java
3,src/java/org/apache/cassandra/cql3/AbstractConditions.java
11,src/java/org/apache/cassandra/cql3/AbstractMarker.java
16,src/java/org/apache/cassandra/cql3/AssignmentTestable.java
14,src/java/org/apache/cassandra/cql3/Attributes.java
5,src/java/org/apache/cassandra/cql3/BatchQueryOptions.java
12,src/java/org/apache/cassandra/cql3/CFName.java
5,src/java/org/apache/cassandra/cql3/ColumnCondition.java
3,src/java/org/apache/cassandra/cql3/ColumnConditions.java
128,src/java/org/apache/cassandra/cql3/ColumnIdentifier.java
140,src/java/org/apache/cassandra/cql3/ColumnSpecification.java
4,src/java/org/apache/cassandra/cql3/Conditions.java
42,src/java/org/apache/cassandra/cql3/Constants.java
53,src/java/org/apache/cassandra/cql3/CQL3Type.java
7,src/java/org/apache/cassandra/cql3/CQLFragmentParser.java
22,src/java/org/apache/cassandra/cql3/CQLStatement.java
9,src/java/org/apache/cassandra/cql3/Duration.java
2,src/java/org/apache/cassandra/cql3/ErrorCollector.java
2,src/java/org/apache/cassandra/cql3/ErrorListener.java
20,src/java/org/apache/cassandra/cql3/FieldIdentifier.java
17,src/java/org/apache/cassandra/cql3/functions/AbstractFunction.java
2,src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java
6,src/java/org/apache/cassandra/cql3/functions/AggregateFunction.java
1,src/java/org/apache/cassandra/cql3/functions/BytesConversionFcts.java
2,src/java/org/apache/cassandra/cql3/functions/CastFcts.java
2,src/java/org/apache/cassandra/cql3/functions/FromJsonFct.java
61,src/java/org/apache/cassandra/cql3/functions/Function.java
37,src/java/org/apache/cassandra/cql3/functions/FunctionName.java
2,src/java/org/apache/cassandra/cql3/functions/FunctionResolver.java
2,src/java/org/apache/cassandra/cql3/functions/JavaBasedUDFunction.java
22,src/java/org/apache/cassandra/cql3/functions/JavaUDF.java
1,src/java/org/apache/cassandra/cql3/functions/NativeAggregateFunction.java
2,src/java/org/apache/cassandra/cql3/functions/NativeFunction.java
7,src/java/org/apache/cassandra/cql3/functions/NativeScalarFunction.java
10,src/java/org/apache/cassandra/cql3/functions/ScalarFunction.java
1,src/java/org/apache/cassandra/cql3/functions/ScriptBasedUDFunction.java
3,src/java/org/apache/cassandra/cql3/functions/TimeFcts.java
2,src/java/org/apache/cassandra/cql3/functions/ToJsonFct.java
1,src/java/org/apache/cassandra/cql3/functions/TokenFct.java
8,src/java/org/apache/cassandra/cql3/functions/UDAggregate.java
2,src/java/org/apache/cassandra/cql3/functions/UDFByteCodeVerifier.java
24,src/java/org/apache/cassandra/cql3/functions/UDFContext.java
1,src/java/org/apache/cassandra/cql3/functions/UDFContextImpl.java
2,src/java/org/apache/cassandra/cql3/functions/UDFExecutorService.java
12,src/java/org/apache/cassandra/cql3/functions/UDFunction.java
12,src/java/org/apache/cassandra/cql3/functions/UDHelper.java
1,src/java/org/apache/cassandra/cql3/functions/UuidFcts.java
1,src/java/org/apache/cassandra/cql3/IfExistsCondition.java
1,src/java/org/apache/cassandra/cql3/IfNotExistsCondition.java
5,src/java/org/apache/cassandra/cql3/IndexName.java
13,src/java/org/apache/cassandra/cql3/Json.java
5,src/java/org/apache/cassandra/cql3/KeyspaceElementName.java
10,src/java/org/apache/cassandra/cql3/Lists.java
10,src/java/org/apache/cassandra/cql3/Maps.java
1,src/java/org/apache/cassandra/cql3/MultiColumnRelation.java
10,src/java/org/apache/cassandra/cql3/Operation.java
4,src/java/org/apache/cassandra/cql3/Operations.java
36,src/java/org/apache/cassandra/cql3/Operator.java
10,src/java/org/apache/cassandra/cql3/QueryHandler.java
71,src/java/org/apache/cassandra/cql3/QueryOptions.java
62,src/java/org/apache/cassandra/cql3/QueryProcessor.java
8,src/java/org/apache/cassandra/cql3/Relation.java
2,src/java/org/apache/cassandra/cql3/ReservedKeywords.java
2,src/java/org/apache/cassandra/cql3/restrictions/ClusteringColumnRestrictions.java
3,src/java/org/apache/cassandra/cql3/restrictions/CustomIndexExpression.java
3,src/java/org/apache/cassandra/cql3/restrictions/IndexRestrictions.java
3,src/java/org/apache/cassandra/cql3/restrictions/MultiColumnRestriction.java
4,src/java/org/apache/cassandra/cql3/restrictions/PartitionKeyRestrictions.java
2,src/java/org/apache/cassandra/cql3/restrictions/PartitionKeySingleRestrictionSet.java
15,src/java/org/apache/cassandra/cql3/restrictions/Restriction.java
6,src/java/org/apache/cassandra/cql3/restrictions/Restrictions.java
4,src/java/org/apache/cassandra/cql3/restrictions/RestrictionSet.java
3,src/java/org/apache/cassandra/cql3/restrictions/RestrictionSetWrapper.java
6,src/java/org/apache/cassandra/cql3/restrictions/SingleColumnRestriction.java
7,src/java/org/apache/cassandra/cql3/restrictions/SingleRestriction.java
14,src/java/org/apache/cassandra/cql3/restrictions/StatementRestrictions.java
4,src/java/org/apache/cassandra/cql3/restrictions/TermSlice.java
2,src/java/org/apache/cassandra/cql3/restrictions/TokenFilter.java
3,src/java/org/apache/cassandra/cql3/restrictions/TokenRestriction.java
18,src/java/org/apache/cassandra/cql3/ResultSet.java
11,src/java/org/apache/cassandra/cql3/RoleName.java
3,src/java/org/apache/cassandra/cql3/selection/AbstractFunctionSelector.java
1,src/java/org/apache/cassandra/cql3/selection/AggregateFunctionSelector.java
1,src/java/org/apache/cassandra/cql3/selection/FieldSelector.java
3,src/java/org/apache/cassandra/cql3/selection/RawSelector.java
1,src/java/org/apache/cassandra/cql3/selection/ScalarFunctionSelector.java
4,src/java/org/apache/cassandra/cql3/selection/Selectable.java
10,src/java/org/apache/cassandra/cql3/selection/Selection.java
6,src/java/org/apache/cassandra/cql3/selection/SelectionColumnMapping.java
3,src/java/org/apache/cassandra/cql3/selection/SelectionColumns.java
11,src/java/org/apache/cassandra/cql3/selection/Selector.java
3,src/java/org/apache/cassandra/cql3/selection/SelectorFactories.java
2,src/java/org/apache/cassandra/cql3/selection/SimpleSelector.java
1,src/java/org/apache/cassandra/cql3/selection/TermSelector.java
1,src/java/org/apache/cassandra/cql3/selection/WritetimeOrTTLSelector.java
8,src/java/org/apache/cassandra/cql3/Sets.java
3,src/java/org/apache/cassandra/cql3/SingleColumnRelation.java
1,src/java/org/apache/cassandra/cql3/statements/AlterTableStatementColumn.java
4,src/java/org/apache/cassandra/cql3/statements/AuthenticationStatement.java
3,src/java/org/apache/cassandra/cql3/statements/AuthorizationStatement.java
9,src/java/org/apache/cassandra/cql3/statements/BatchStatement.java
18,src/java/org/apache/cassandra/cql3/statements/Bound.java
2,src/java/org/apache/cassandra/cql3/statements/CFProperties.java
21,src/java/org/apache/cassandra/cql3/statements/CFStatement.java
6,src/java/org/apache/cassandra/cql3/statements/CQL3CasRequest.java
5,src/java/org/apache/cassandra/cql3/statements/CreateTableStatement.java
3,src/java/org/apache/cassandra/cql3/statements/CreateTypeStatement.java
1,src/java/org/apache/cassandra/cql3/statements/IndexPropDefs.java
21,src/java/org/apache/cassandra/cql3/statements/IndexTarget.java
2,src/java/org/apache/cassandra/cql3/statements/KeyspaceAttributes.java
1,src/java/org/apache/cassandra/cql3/statements/ListRolesStatement.java
14,src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java
42,src/java/org/apache/cassandra/cql3/statements/ParsedStatement.java
2,src/java/org/apache/cassandra/cql3/statements/PermissionsManagementStatement.java
5,src/java/org/apache/cassandra/cql3/statements/PropertyDefinitions.java
24,src/java/org/apache/cassandra/cql3/statements/RequestValidations.java
2,src/java/org/apache/cassandra/cql3/statements/RoleManagementStatement.java
20,src/java/org/apache/cassandra/cql3/statements/SchemaAlteringStatement.java
20,src/java/org/apache/cassandra/cql3/statements/SelectStatement.java
7,src/java/org/apache/cassandra/cql3/statements/StatementType.java
5,src/java/org/apache/cassandra/cql3/statements/TableAttributes.java
2,src/java/org/apache/cassandra/cql3/statements/UpdatesCollector.java
2,src/java/org/apache/cassandra/cql3/statements/UpdateStatement.java
10,src/java/org/apache/cassandra/cql3/SuperColumnCompatibility.java
74,src/java/org/apache/cassandra/cql3/Term.java
10,src/java/org/apache/cassandra/cql3/Terms.java
6,src/java/org/apache/cassandra/cql3/Tuples.java
74,src/java/org/apache/cassandra/cql3/UntypedResultSet.java
12,src/java/org/apache/cassandra/cql3/UpdateParameters.java
6,src/java/org/apache/cassandra/cql3/UserTypes.java
4,src/java/org/apache/cassandra/cql3/UTName.java
10,src/java/org/apache/cassandra/cql3/VariableSpecifications.java
7,src/java/org/apache/cassandra/cql3/WhereClause.java
20,src/java/org/apache/cassandra/db/AbstractBufferClusteringPrefix.java
